stock_id,delist_date,delist_name,roster_names_at_max_date
1107,2007-10-20,建台水泥,建台
1230,2001-11-01,聯成食品,聯成食
1469,2018-07-11,理隆纖維,理隆
1523,2010-09-01,臺灣開億,開億
1601,2007-10-15,台灣日光燈,台光
1715,2017-10-25,萬洲化學,萬洲
1716,2011-01-03,永信藥品,永信
1729,2018-01-02,必翔實業,必翔
2301,2002-11-04,光寶電子,光寶科
2315,2013-09-12,神達電腦,神達
2361,2015-12-28,鴻友科技,鴻友
2381,2009-07-12,華宇光能,華宇
2384,2015-07-07,勝華科技,勝華
2391,2010-08-16,合勤科技,合勤
2396,2009-04-08,精碟科技,精碟
2418,2008-01-14,雅新實業,雅新
2432,2008-09-01,倚天資訊,倚天酷碁-創
2494,2008-10-27,突破,廣業科
2526,2010-04-08,大陸工程,大陸
2807,2007-01-18,新竹商銀,竹商銀
2827,2007-04-30,中聯信託,中聯
2831,2007-06-20,中華商銀,中華銀
2833,2015-10-15,台灣人壽,台壽保
2837,2014-09-15,萬泰銀行,萬泰銀
2847,2016-03-22,大眾銀行,大眾銀
2856,2018-10-01,元富證券,元富證
3009,2010-03-18,奇美,奇美電
6288,2025-08-15,聯嘉光電,聯嘉
6423,2026-01-22,億而得-創,億而得
910069,2015-05-13,新曄科技,新曄
910579,2013-07-30,歐聖集團,歐聖
911201,2014-12-30,僑威集團,僑威控
911602,2013-12-03,華豐泰國,華豐泰
911606,2012-11-06,超級集團,超級
911610,2014-01-28,聯合環境,聯環
911612,2016-01-26,滬安電力,滬安
9801,2007-04-11,中國力霸,力霸
